latitude	longitude	state	AUTO_UNIQUE_ID_2017-06-03_yuc120_crime_lat_lon_	UpdatedCensusIntersection	CensusYEar	CensusBlock	CensusBlockGroup	CensusTract	CensusCountyFips	CensusStateFips	CensusCbsaFips	CensusCbsaMicro	CensusMcdFips	CensusMetDivFips	CensusMsaFips	CensusPlaceFips	TimeTaken	TransactionId	Source	ErrorMessage	Version
32.95733667	-117.1437767	CA	1	1	TwoThousandTen	1008	1	83.37	73	6	41740	0	92780		7320	66000	414		AggieCensusIntersector		4.1
32.75815319	-117.125022	CA	2	1	TwoThousandTen	4004	4	17	73	6	41740	0	92780		7320	66000	390		AggieCensusIntersector		4.1
32.79676053	-117.2545775	CA	3	1	TwoThousandTen	2033	2	79.05	73	6	41740	0	92780		7320	66000	139		AggieCensusIntersector		4.1
32.75728748	-117.1298703	CA	4	1	TwoThousandTen	2009	2	12	73	6	41740	0	92780		7320	66000	134		AggieCensusIntersector		4.1
32.83609756	-117.2066451	CA	5	1	TwoThousandTen	1008	1	85.02	73	6	41740	0	92780		7320	66000	87		AggieCensusIntersector		4.1
32.82034691	-117.1824188	CA	6	1	TwoThousandTen	4009	4	85.04	73	6	41740	0	92780		7320	66000	91		AggieCensusIntersector		4.1
32.70728741	-117.1587297	CA	7	1	TwoThousandTen	4026	4	54	73	6	41740	0	92780		7320	66000	120		AggieCensusIntersector		4.1
32.83680326	-117.2086811	CA	8	1	TwoThousandTen	3002	3	85.02	73	6	41740	0	92780		7320	66000	88		AggieCensusIntersector		4.1
32.77493183	-117.144025	CA	9	1	TwoThousandTen	3001	3	93.04	73	6	41740	0	92780		7320	66000	139		AggieCensusIntersector		4.1
32.75507798	-117.0994572	CA	10	1	TwoThousandTen	3002	3	23.01	73	6	41740	0	92780		7320	66000	129		AggieCensusIntersector		4.1
32.79193216	-117.1262135	CA	11	1	TwoThousandTen	3002	3	93.05	73	6	41740	0	92780		7320	66000	142		AggieCensusIntersector		4.1
32.74991536	-117.1624723	CA	12	1	TwoThousandTen	1007	1	4	73	6	41740	0	92780		7320	66000	143		AggieCensusIntersector		4.1
32.81946283	-117.1109013	CA	13	1	TwoThousandTen	3000	3	95.1	73	6	41740	0	92780		7320	66000	123		AggieCensusIntersector		4.1
32.91180796	-117.1026572	CA	14	1	TwoThousandTen	1010	1	170.46	73	6	41740	0	92780		7320	66000	90		AggieCensusIntersector		4.1
32.70888533	-117.1537267	CA	15	1	TwoThousandTen	2012	2	51	73	6	41740	0	92780		7320	66000	135		AggieCensusIntersector		4.1
32.71624302	-117.1556098	CA	16	1	TwoThousandTen	2009	2	52	73	6	41740	0	92780		7320	66000	144		AggieCensusIntersector		4.1
32.74459272	-117.2258531	CA	17	1	TwoThousandTen	1003	1	69	73	6	41740	0	92780		7320	66000	121		AggieCensusIntersector		4.1
32.9040845	-117.1338178	CA	18	1	TwoThousandTen	3012	3	83.6	73	6	41740	0	92780		7320	66000	92		AggieCensusIntersector		4.1
32.91906508	-117.0840748	CA	19	1	TwoThousandTen	2003	2	170.46	73	6	41740	0	92780		7320	66000	83		AggieCensusIntersector		4.1
32.75167283	-117.1615033	CA	20	1	TwoThousandTen	1000	1	4	73	6	41740	0	92780		7320	66000	138		AggieCensusIntersector		4.1
32.71414388	-117.1592475	CA	21	1	TwoThousandTen	2006	2	53	73	6	41740	0	92780		7320	66000	129		AggieCensusIntersector		4.1
32.57686661	-117.024998	CA	22	1	TwoThousandTen	2020	2	100.14	73	6	41740	0	92780		7320	66000	94		AggieCensusIntersector		4.1
32.70784302	-117.1485454	CA	23	1	TwoThousandTen	1013	1	51	73	6	41740	0	92780		7320	66000	94		AggieCensusIntersector		4.1
32.78768729	-117.0972475	CA	24	1	TwoThousandTen	3014	3	96.04	73	6	41740	0	92780		7320	66000	123		AggieCensusIntersector		4.1
32.79564976	-117.2375909	CA	25	1	TwoThousandTen	2020	2	79.08	73	6	41740	0	92780		7320	66000	135		AggieCensusIntersector		4.1
32.7720289	-117.2527517	CA	26	1	TwoThousandTen	2030	2	76	73	6	41740	0	92780		7320	66000	122		AggieCensusIntersector		4.1
32.72753598	-117.1264056	CA	27	1	TwoThousandTen	2008	2	44	73	6	41740	0	92780		7320	66000	145		AggieCensusIntersector		4.1
32.73898304	-117.1730288	CA	28	1	TwoThousandTen	1000	1	61	73	6	41740	0	92780		7320	66000	130		AggieCensusIntersector		4.1
32.55328381	-117.0427114	CA	29	1	TwoThousandTen	1015	1	100.13	73	6	41740	0	92780		7320	66000	92		AggieCensusIntersector		4.1
32.75317975	-117.1016515	CA	30	1	TwoThousandTen	1006	1	22.02	73	6	41740	0	92780		7320	66000	121		AggieCensusIntersector		4.1
32.75711244	-117.0844142	CA	31	1	TwoThousandTen	1013	1	28.03	73	6	41740	0	92780		7320	66000	122		AggieCensusIntersector		4.1
32.75018746	-117.2056749	CA	32	1	TwoThousandTen	1020	1	65	73	6	41740	0	92780		7320	66000	120		AggieCensusIntersector		4.1
32.70635887	-117.1370547	CA	33	1	TwoThousandTen	3017	3	48	73	6	41740	0	92780		7320	66000	91		AggieCensusIntersector		4.1
32.71145758	-117.1000455	CA	34	1	TwoThousandTen	2010	2	34.04	73	6	41740	0	92780		7320	66000	131		AggieCensusIntersector		4.1
32.67257825	-117.0433554	CA	35	1	TwoThousandTen	5012	5	32.08	73	6	41740	0	92780		7320	66000	108		AggieCensusIntersector		4.1
32.71734362	-117.1458494	CA	36	1	TwoThousandTen	1010	1	46	73	6	41740	0	92780		7320	66000	147		AggieCensusIntersector		4.1
32.71529069	-117.1391749	CA	37	1	TwoThousandTen	2004	2	41	73	6	41740	0	92780		7320	66000	140		AggieCensusIntersector		4.1
32.72039477	-117.1378626	CA	38	1	TwoThousandTen	2035	2	56	73	6	41740	0	92780		7320	66000	138		AggieCensusIntersector		4.1
32.76330437	-117.1146214	CA	39	1	TwoThousandTen	2006	2	18	73	6	41740	0	92780		7320	66000	120		AggieCensusIntersector		4.1
